sim_id,capacity_norm,seal_risk_norm,heterogeneity_norm,suitability_score,poro_mean,logk_mean,caprock_margin_peak,rank
534,0.623506507162499,0.43852187218140865,0.486183611122536,67.72,0.2872864902019501,1.5729831470310607,0.5892837245856046,122
835,0.8038196454385073,0.7825160669462167,0.4286113583307367,67.44,0.29740527272224426,1.7232215129878061,0.7131817586002716,123
630,0.5108645662617459,0.24591355238541096,0.505442767657744,67.28,0.28096526861190796,1.4775595370181442,0.5199110650443346,124
507,0.4666112940931555,0.15636134465738255,0.5300840742923627,67.25,0.2784818708896637,1.4371066162542574,0.4876566181727478,125
898,0.7768903060113584,0.6218906784816575,0.61469466515959,66.99,0.295894056558609,1.6987721123372803,0.6553285443702824,126
471,0.7062430098321723,0.5252311526799761,0.5850397588734738,66.92,0.2919294834136963,1.6415538962487055,0.6205142207628555,127
736,0.5496218272736831,0.3162760013145763,0.5117866158584576,66.74,0.28314024209976196,1.5069153844526118,0.5452538447291528,128
9,0.6557045611210185,0.5280740799094372,0.46457275172921547,66.55,0.28909337520599365,1.6014298545860435,0.6215381714571915,129
364,0.419140287689551,0.27931794733158044,0.2466127920490436,66.54,0.2758179008960724,1.4023259813844784,0.5319424857027837,130
244,0.6698649284493591,0.638948241858425,0.3377532828768426,66.4,0.28988802433013916,1.6129123032981616,0.661472248536299,131
528,0.6407518420054785,0.5110165165326699,0.46620813377810616,66.06,0.2882542610168457,1.5872826299521758,0.615394467291175,132
293,0.5325214736893535,0.31485453769984556,0.4954500223843524,65.86,0.2821806073188782,1.494975996478531,0.5447418693819848,133
964,0.6889015518836411,0.587775551728123,0.47808723717228024,65.82,0.2909563183784485,1.6281332511026643,0.6430411360382494,134
431,0.750140467190157,0.5863540881133923,0.6366077509938373,65.7,0.2943929135799408,1.6751935354846217,0.6425291606910813,135
363,0.6628298854701163,0.6204692148669267,0.3680298690596139,65.67,0.28949323296546936,1.608462861887738,0.6548165690231144,136
123,0.5896796710784162,0.36460576421541696,0.5711415416757019,65.59,0.28538820147514343,1.5426053675436102,0.5626610065328663,137
182,0.5938666023721696,0.4129355271162576,0.5106722433384748,65.53,0.285623162984848,1.5472946655186486,0.5800681683365798,138
900,0.6819838746852102,0.45984382640236793,0.6605999221769606,65.53,0.29056811332702637,1.615287190720005,0.5969633547931253,139
708,0.4629092268622126,0.25799599311062116,0.4163028715926311,65.51,0.2782741189002991,1.4347871616855485,0.524262855495263,140
704,0.668126215479325,0.48969456231171066,0.5843180546221265,65.42,0.28979045152664185,1.6067501323344167,0.6077148370836543,141
231,0.6595176213301951,0.42430723603410275,0.6622454250970473,65.37,0.2893073558807373,1.5958379346051885,0.5841639711139243,142
296,0.8423400506212951,0.8152097300850205,0.5333654976055526,65.35,0.29956695437431335,1.7544223096634253,0.7249571915851365,143
954,0.67213683256842,0.5408672524420127,0.524696217744299,65.16,0.2900155186653137,1.613981124574912,0.6261459495817039,144
732,0.5430679308890803,0.2032696439434927,0.7116406599755506,65.04,0.2827724516391754,1.4988365329096296,0.5045518046292933,145
41,0.3658020543791244,0.12153513905946718,0.39512118020555703,64.9,0.2728246748447418,1.3471044890164432,0.4751130971731494,146
602,0.504648959480659,0.299218437937809,0.4787853619471178,64.79,0.2806164622306824,1.470872475492778,0.5391101405631363,147
265,0.4634976489669156,0.23738477069702718,0.46944261347596156,64.76,0.27830713987350464,1.4336393636465168,0.5168392129613263,148
827,0.648551090227201,0.5721394519660861,0.432697606241692,64.66,0.2886919379234314,1.5937970599461235,0.6374094072194009,149
209,0.5675644529320734,0.518123834606323,0.3141800511599272,64.55,0.28414714336395264,1.5299182494899308,0.6179543440270152,150
102,0.700688581318554,0.6631131233088453,0.4330936122444453,64.42,0.2916177809238434,1.636698278366612,0.6701758294381558,151
428,0.5097344559379119,0.2750535564873884,0.5381904614449718,64.41,0.28090184926986694,1.4711803986296013,0.5304065596612795,152
469,0.6340513711615814,0.6289979965553105,0.32047394101771604,64.32,0.28787824511528015,1.583276447969088,0.6578884211061227,153
218,0.5984773250373605,0.39161357289529863,0.5880760202322676,64.3,0.285881906747818,1.546431592172305,0.5723885381290592,154
737,0.7902599147531442,0.806680948396637,0.44488227381091067,64.3,0.29664433002471924,1.71205717584649,0.7218853395021283,155
590,0.5381762738435754,0.4072496726573352,0.415232104953865,64.25,0.28249794244766235,1.502720816704635,0.5780202669479076,156
902,0.5738968944270904,0.45700089917290654,0.432371907993098,64.16,0.2845025062561035,1.5326450824104498,0.5959394040987892,157
305,0.7337135064115705,0.5764038428102779,0.6556237912826568,64.06,0.2934710681438446,1.6630357779377127,0.638945333260905,158
405,0.5439649028519353,0.34328380999445796,0.5323686994615912,64.01,0.28282278776168823,1.504940758346526,0.5549813763253457,159
774,0.7407586396615617,0.7711443580283716,0.38271073107359405,64.0,0.29386642575263977,1.673048631346496,0.7090859558229271,160
270,0.5838129752384755,0.4100925998867965,0.5389623393769291,63.75,0.28505897521972656,1.5369692782385724,0.5790442176422438,161
222,0.4959601742324225,0.31911892854403734,0.4569878047808842,63.7,0.2801288664340973,1.4625745595401227,0.5462777954234889,162
826,0.4365013951126977,0.29779697432307833,0.34033948847394274,63.7,0.27679216861724854,1.4139771592456252,0.5385981652159683,163
69,0.7037363741514879,0.42572869964883314,0.8182648993759298,63.64,0.29178881645202637,1.6290571367548323,0.5846759464610922,164
599,0.5899207754426177,0.3532340552975721,0.6428527591971264,63.63,0.28540173172950745,1.5431278705429041,0.558565203755522,165
